,Disaccharide,Tetrasaccharide,Trisaccharide,valine-d8
AB01_148,15704806.33,29403181.170000002,42249457.289999999,620831676.79999995
AB01_149,45296145.079999998,72390229.140000001,122831060.09999999,651659116.60000002
AB01_150,71157320,121644404.8,195059046.40000001,653218833
AB01_151,3410761.9399999999,18110499.48,24001081.739999998,677899876.20000005
AB01_152,18957661.899999999,73937775.489999995,101576917.5,667323303.39999998
AB01_153,41229608.049999997,121087356.3,189145386,675128063.10000002
AB01_154,96847372.810000002,115915211.90000001,301417202.10000002,664329654
AB01_155,176475873.59999999,186460553.69999999,526261550.5,699742649.70000005
AB01_156,5000496.8380000005,4858494.5180000002,6159662.5060000001,561961732.39999998
AB01_157,50053927.810000002,35406402.299999997,52540811.799999997,546019280.89999998
AB01_158,143728047.69999999,135439896,197240816.5,577622541.39999998
AB01_159,243640016.90000001,129246118.09999999,240610229.59999999,560809662.10000002
AB01_160,448247291.80000001,192720093.59999999,387899346.5,538125231.60000002
AB01_161,546486.74399999995,1249871.7620000001,1876155.1910000001,713083126.60000002
AB01_162,1520252.3659999999,5802800.909,6809827.1169999996,751259752.20000005
AB01_163,957797.01009999996,3206526.6699999999,4416034.0630000001,700021953.70000005
AB01_164,2322848.9700000002,3519209.2409999999,8026047.1739999996,696230456.10000002
AB01_165,2862977.1359999999,2010920.0379999999,6340710.9519999996,695469550.89999998
AB01_166,3337816.1839999999,11066824,11122103.369999999,662460817.20000005
AB01_167,14765547.75,31173736.27,51508567.609999999,643097357.79999995
AB01_168,11849252.1,10216009.01,18986762.09,627850642
AB01_169,7525925.0010000002,11291083.359999999,8967432.7200000007,632519855.39999998
AB01_170,29382038.579999998,21315258.84,31226999.43,675839831.39999998
AB01_171,2922090.0049999999,5635904.3899999997,7035972.2220000001,636175578.89999998
AB01_172,9506134.1370000001,25420658.43,30297563.75,627570715
AB01_173,18401781.57,42953816.960000001,54695150.450000003,621514868.89999998
AB01_174,28556647.73,80241409.400000006,106163796.59999999,649876421.70000005
AB01_175,69533371.260000005,98852080.519999996,173518977.09999999,604053055.60000002
AB01_176,3757186.5440000002,29779694.920000002,27811160.16,706938849.5
AB01_177,43499910.479999997,225089208.69999999,269321685.39999998,718807131.79999995
AB01_178,40306514.159999996,198973116.19999999,243760397.19999999,715823263.5
AB01_179,132768776,152260279.90000001,384642110.80000001,725004656.70000005
AB01_180,215598860.09999999,242168425.80000001,627198007.89999998,697855542.39999998
AB01_181,12529062.99,13591718.300000001,21271800.140000001,653633246.89999998
AB01_182,13970265.689999999,15105195.189999999,20286177.440000001,652189384
AB01_183,72763053.5,58063093.310000002,95688586.980000004,647020700.10000002
AB01_184,240848333.09999999,124953060.09999999,233523923,653250562.60000002
AB01_185,302064863,145508306.30000001,270793011.80000001,629362860.29999995
AB01_186,767289.22499999998,3844223.273,4455111.8779999996,716695404.79999995
AB01_187,674263.94519999996,2871865.3339999998,3840054.3709999998,728422185.5
AB01_188,1616139.5819999999,3147930.9029999999,5214027.0319999997,693131483.60000002
AB01_189,2632665.2039999999,2397886.517,6364356.0609999998,724397267
AB01_190,6502568.2920000004,3315488.7540000002,9666733.3289999999,708730621.29999995
AB01_191,5406700.5870000003,19825701.84,20731465.32,727591857.89999998
AB01_192,18726878.77,18243546.73,35944397.409999996,672416232.10000002
AB01_193,19813201.379999999,11851637.779999999,31641501.68,645887318.10000002
AB01_194,18805959.43,9127454.3049999997,20880292.059999999,647727748.10000002
AB01_195,4614352.4630000005,18282490.59,6541471.2850000001,704566728
AB01_196,2728473.9389999998,2788604.1919999998,4135253.8620000002,663346911.60000002
AB01_197,8260638.1380000003,22486879.550000001,29266760.629999999,679354370.89999998
AB01_198,14977622.73,39628068.990000002,50746033.030000001,684036672.60000002
AB01_199,40540308.399999999,121542712,138794286.80000001,676986593.10000002
AB01_200,92023473.670000002,113733383.7,229625839.5,665392569.10000002
