Bracket Type=4,,,,,,,,,,,,,,,,,,,,,,
File Name,Path,Instrument Method,Position,Inj Vol,,,,,,,,,,,,,,,,,,
MSJ01_HG_Blank_4,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A1,2,,,,,,,,,,,,,,,,,,
MSJ01_HG_014_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:C1,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_012_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:B6,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_006,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:A6,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_009,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:B2,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_007_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:A9,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_003_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:A4,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_PoolA8,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A3,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_Blank_5,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A1,2,,,,,,,,,,,,,,,,,,
MSJ01_HG_010,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:B3,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_013_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:B8,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_017_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:C3,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_011_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:B5,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_004_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:A5,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_PoolA9,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A3,5,,,,,,,,,,,,,,,,,,
MSJ01_HG_Blank_6,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A1,2,,,,,,,,,,,,,,,,,,
MSJ01_HG_AfterAX_Blank_0,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A1,2,,,,,,,,,,,,,,,,,,
MSJ01_HG_AfterAX_Blank_1,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A1,2,,,,,,,,,,,,,,,,,,
