"","Choline*","Serine","Diethanolamine*","Hypotaurine","Cytosine","Creatinine","Proline","Succinate","Guanidinoacetate","Betaine","Threonine","Taurine","Pipecolate*","Creatine","Leucine","Malate","Ureidopropionic acid*","L-(-)-Asparagine","DL-Ornithine","aspartic acid dianion","Adenine","D-erythronic acid","Hypoxanthine","1-methylnicotinamide","Trigonelline*","Urocanate*","O-Phosphorylethanolamine*","Proline Betaine","alpha-Ketoglutaric acid","Glutamine","g-Butyrobetaine*","D-2-Hydroxyglutaric acid","L-Pyroglutamic acid*","DL-Lysine","Nudifloramide*","Imidazolelactic acid*","Indole-3-acetaldehyde*","N6-METHYLLYSINE","Aminoadipate","N-Methylglutamate*","L-Cartinine","Phenylalanine","DL-Methionine Sulfoxide","7-Methylguanine*","Uric acid","Guanidinoethyl sulfonate*","Pyridoxal*","3-Methylhistidine","aconitate","Î²-Glycerophosphate*","N-Acetylasparagine","N-Acetylornithine*","Citrulline","Inositol*","Mannitol","Methionine sulfone","Phosphorylcholine","N-Alpha-Acetyllysine","N6-Acetyllysine","Homo-L-arginine","L-Targinine*","beta-Asp-Gly","Glycyl-Aspartate (RT = 9.466)","D-gluconate anion","Tryptophan","N,N-dimethylarginine","Acetylcarnitine","gamma-Glutamylglycine","Phosphocreatine","Acetylarginine*","Ala-Gln*","propionylcarnitine","Pantothenate (RT = 2.976)","Carnosine","Ergothioneine","Isobutyrylcarnitine","Cystine*","Anserine","Uridine","Cytidine","Tiglylcarnitine (RT = 2.835)","Isovalerylcarnitine","Malonyl-L-carnitine","g-Glutamylcysteine*","5'-Deoxyadenosine","Choline Alfoscerate","Glucosamine 6-phosphate*","Hexanoylcarnitine (RT = 2.766)","fructose 6-phosphate","Succinylcarnitine","Thiamine","Adenosine","Inosine (RT = 4.831)","gamma-Glu-gln","saccharopine","1-Methyladenosine*","Guanosine","Argininosuccinate","Methylthioadenosine (RT = 2.546)","N-Acetylaspartylglutamate*","Glutathione Reduced","N-Acetylneuraminate","Decanoylcarnitine (RT = 2.603)","cytidine 5′-monophosphate","UMP","Nicotinamide Mononucleotide","Lauroylcarnitine*","Adenosine monophosphate","Inosinic acid","3-Hydroxydodecanoylcarnitine (RT = 2.765)","Guanosine monophosphate","S-Adenosylhomocysteine","Deoxycholic acid*","S-Adenosyl-L-methionine","UDP*","3-hydroxyhexadecanoylcarnitine","Cocarboxylase*","adenosine 3',5'-bisphosphate","Guanosine 5'-diphosphate (GDP)*","CDP-ethanolamine","Citicoline","Maltotriose*","Adenosine triphosphate (ATP)","Cyclic ADP-ribose","Adenosine diphosphate ribose","Uridine diphosphategalactose","GDP-Fucose*","GDP-Mannose","Uridine diphosphate-N-acetylgalactosamine","Oxidized Glutathione","CMP-N-Acetylneuraminate","NADH","Maltotetraose*","Nicotinamide adenine dinucleotide phosphate (NADP+)","NADPH","Glycolate*","Coenzyme A","FAD*","Acetyl-Coa*","lactate anion*","Alanine","Beta-Alanine","Sarcosine"
"MSJ01_MM_037",1994397689.83021,61504069.8262037,367469836.085209,44574433.0637697,61333525.5420407,412283096.716479,2295662314.82874,416502532.476129,50581384.9591643,2856751640.30064,334793900.51843,3888029666.69986,48851118.2362917,32790488420.0321,1056082512.37076,1201166799.47723,7337194.5321391,59198974.6474914,11940087.4183805,139012507.66721,315706087.068267,323298102.288948,355695881.026243,11440627.9338868,72378806.509845,15776491.921999,39574128.1221,61700400.1065541,18066866.658138,1165054007.94342,299708839.168345,69299129.343407,7045121038.97153,246169795.114746,14330370.3162934,20901107.0969167,27799635.9311978,22899622.6478793,5565072.59816361,11919369.6164776,27003155110.6727,81138393.2031212,40521514.6558975,11909485.2884642,54382460.7589512,14687090.1415496,1989186.75785407,116637004.265487,75066314.3448458,83202538.7686559,19365.6912300549,30004301.1442921,725825046.847743,68097567.9161973,93795646.1786238,15298499.9317879,3049264565.22201,19365.6912300549,23354985.9980494,4223639.59981237,14295677.8043081,2310960.73120752,1738250.12543566,76230785.8677501,35505073.4487117,102855214.780266,28877361226.6309,4330926.86736693,210442065.535841,19365.6912300549,3526001.54886782,722577130.623273,2325071776.09812,166675679.460702,93933357.7167446,412375446.253101,3000756.99541144,140396273.58122,92985875.9344856,75540032.2955795,10080830.7989344,19447625.6132517,364055383.465966,5416649.61623831,5980858.85601373,1454925729.30542,1425574.89214096,15272492.4278408,34549812.0439437,635980459.222452,7022178.44081335,7246233876.55234,432040051.360318,11434242.4667077,19365.6912300549,22845982.636634,35909515.7148409,8131670.71285977,37228662.7973927,6535848.25084607,1740537186.63444,2892133.18313358,3843444.59324527,12369517.9691399,6807762.23094215,5839725.17343441,5854683.80548779,908895004.553496,41607444.4585623,5859688.51125564,25019941.3150333,14700254.7231851,19365.6912300549,310598624.051014,7203424.13494202,10695329.2377569,34886222.9730623,236504723.280397,3676001.65360569,31527846.0450283,93206057.0283476,460488.402062402,137022702.192424,17325009.1749939,35702752.0717876,7262157.77866091,854279.020165948,1534130.58175063,20445247.7176112,34025538.5734247,3497349.31193467,43951787.517213,892176.112984067,5209196.18913894,1355318.73066662,1395048875.75743,10446376.8684628,26157637.4199263,8732078.74703754,7699793926.61868,582837270.44481,19365.6912300549,9612016.27794119
"MSJ01_MM_024_b",2678193699.16404,70912460.1966067,1791483038.9493,74457833.8138551,96963122.410328,563071140.661525,2307252096.24944,389427866.057609,53063882.8700197,4375168441.85878,431341807.556684,5313527738.99784,78235861.4163276,35067163366.0299,773851004.337042,1354632418.00569,8711895.62305559,58156224.8641857,16551653.0300275,178509821.064989,287943972.760746,466773235.639701,122321953.309074,36969783.0370751,136017487.362282,54181749.4312489,73620215.4747871,112560756.332528,8117214.17006691,1442243382.34869,632709877.792871,100327868.779951,8259718059.03546,551658524.906679,27327217.2636403,17373900.8095156,34260270.4253995,66642729.9430323,7053223.75320275,26607968.8519171,40326706737.7094,133204419.575623,67206967.7752852,23571406.6866938,20393638.1045306,45732877.4083749,2378452.42996803,264133325.394268,120027854.025057,65336773.7396524,17801.9342885415,78429207.2787814,1006717011.05573,96961816.9391007,75433383.8918979,13831935.8797967,4786922047.31611,17801.9342885415,28420468.5967063,15812140.8680649,38344070.5840873,2933713.26741279,3830826.79766451,84695974.8701713,33459297.0293785,232483909.238341,52142326666.3171,5145918.33148058,339928060.025402,17801.9342885415,3039380.53311978,675922404.530648,5612996913.49063,94981150.0653516,87363514.558658,327328087.880983,5002536.35003417,119878367.618055,27505994.700061,213012952.443043,3816389.15623536,17593237.8254291,756321995.022124,17801.9342885415,6069815.35429149,1962439871.67974,2290823.06306843,29583379.2174917,32533906.3070749,1387399531.5333,5848364.72407482,6865431610.75912,185660517.084489,12358421.0431479,17801.9342885415,59343007.2504087,23027791.8865275,5994350.55161412,54326360.362221,1933359.17262682,2812257197.47171,2659085.27319552,7518119.95819464,24258189.522732,19149484.4667152,5725393.04362781,13302531.8884984,2355363674.36991,16377578.6175636,9097324.04874999,31919656.4846083,15841146.917696,17801.9342885415,378541966.098983,18412005.1485347,32900878.6208142,49762544.4401231,276701810.673681,4403895.55377757,40684367.1489083,86211728.1676284,17801.9342885415,116760086.824449,17044605.2586845,82217811.3055255,19895017.0279423,1049512.03056228,1395993.96178011,29866786.0633015,67677157.1540479,5337182.91894991,174705051.347678,477206.632515623,5366796.21516395,2347624.74539765,1393191156.0946,9473317.27479805,42246662.8262595,4951051.17138535,5758167188.10967,553226745.69711,35058754.2933434,14758454.6272147
"MSJ01_MM_037_b",1601439545.16365,45451719.1132263,1539244954.46157,32520286.2088057,56639520.1620956,356988368.714154,2485726201.57084,114184754.007944,42563187.532806,3893686345.32837,238328003.355769,2536104847.64843,36573693.0910413,22079543562.8184,929757584.622104,1109238553.56068,9703914.8645163,54668331.6911839,15415236.5278264,143581800.49945,278599683.751297,349145593.227465,379141718.411203,16565690.4354087,64589786.8668119,14569078.2391224,45766605.9106446,58489056.0319681,16684164.9702345,558826536.59607,190568927.657349,71775791.5168368,6793780697.77944,131644799.65219,11054836.1041336,14498176.6751574,46577604.0801799,10956295.2042334,10110584.6271635,7112954.08336674,16172344793.9522,69131443.7316998,44768559.3944624,11249904.0321294,85894980.051392,7407210.87209343,988254.74469497,68740278.9447079,75200761.2614468,26966341.7070742,17883.5873070068,21912581.5350953,389835756.901827,240313985.958891,91685644.2298266,14127668.1501438,2014540265.09497,17883.5873070068,21567571.5464173,1496941.18917203,5768738.43313712,2155517.26288053,846072.242109399,216480366.351236,36468897.5167601,51838508.758527,17291966038.7246,5078384.9139473,173775758.533085,17883.5873070068,3256147.98845679,290346584.437098,1104927856.72236,189381815.332904,48030342.7152311,154347579.965239,8431639.08520094,110768877.881263,83849357.0896826,34771270.2296093,4240968.60818426,9385130.55268079,159721429.747001,5002100.11471858,3198709.71793719,2038544250.58981,3206610.02086474,7191903.85679768,21043819.7780115,269371794.662975,8112611.71496675,6282392562.97147,281627803.533092,12645679.1357796,17883.5873070068,30373951.5306307,38210731.093985,3260282.29101964,18044384.8886632,5178943.57890847,877598146.940102,4325364.80208372,5078825.97566546,6973486.06582962,7244933.6618885,6033079.57306542,4045738.9304495,555980532.855795,31905393.8555868,7317451.46501758,14780590.0274414,17464056.4175798,17883.5873070068,184562542.000193,6160977.54739832,16329626.2574477,11266705.8351328,79243288.9743313,3173774.10680112,16553621.0498629,36094300.8371692,636864.80736301,26912724.0253042,7976456.66745756,15276618.0930954,7051508.14232348,336172.178891894,696234.611587742,20462482.3693262,39610461.828935,1850685.51502273,9171171.12630746,459515.650244829,2710077.56205569,1277034.90098445,1531912741.64859,8750184.5173373,7944892.20625963,6468033.85547997,4953539448.74358,484996969.363124,17883.5873070068,8782694.76867164
"MSJ01_MM_050",2643096714.55716,56786691.3216239,250969515.17713,50864015.1610004,19519.3390150678,541891192.772213,2827168118.41282,235471832.912105,52220247.6107983,3225001122.34568,399938791.839823,3798376621.80858,55798071.812891,29081477152.6762,587810439.969254,1332340308.86231,49346515.9711242,50839030.7277093,15355095.5226054,155518896.15182,260964711.055479,19519.3390150678,136605118.376153,20122686.1074539,61913012.6385823,19519.3390150678,57045792.7659985,51761811.2319661,8388270.47178799,889563296.193123,363960420.776221,91704537.9127472,6093815298.93222,336852136.111594,15334928.0194339,19519.3390150678,32928172.6653175,28515519.2855587,7895551.34302446,14235558.5029329,24341950923.4909,19519.3390150678,43212881.6457171,27691623.7146839,55187442.9794622,21092101.8501691,2127873.49042271,125972647.83594,120926891.480067,41354577.9021782,19519.3390150678,40847146.6641744,733850620.611363,125278158.726262,19519.3390150678,19519.3390150678,2973403084.87037,19519.3390150678,29004256.5781119,8276130.91061926,19091151.5579586,2580376.60961762,1986820.03925405,121900117.643369,19519.3390150678,141618282.833283,28920582069.9351,8686131.04547096,198668813.64759,19519.3390150678,19519.3390150678,592956104.874099,3165052046.19417,278404436.035016,41691299.3890328,287754608.23934,2708060.39118508,207362885.55912,84751916.6127433,132922702.415344,6831183.07739156,10718635.2149482,354593769.453483,19519.3390150678,19519.3390150678,2006619923.70393,19519.3390150678,28489805.9081475,24787585.0626664,611825155.080177,6482104.89235741,6129397821.32643,161561580.087334,17776141.2762743,19519.3390150678,19519.3390150678,21472312.1582175,10548664.6487895,41371377.0112325,3621488.15336035,1596234375.1309,3331150.6851052,2955087.18559739,12603961.4881377,11973258.4290552,4799203.90631288,5911672.22823346,1335128725.22267,19394026.3869973,8209765.40376346,23625266.4068405,11959826.8438575,19519.3390150678,290184186.097716,10087152.7548965,26609002.7645854,23309636.7167345,219113237.938449,2596471.4807629,23349757.7458095,70799260.2101875,602924.105762983,65797693.5824838,14136889.5392427,55572678.2875402,10209908.8763317,918515.3477657,1230188.64889368,26540735.7379472,47614597.2935345,4140023.7010089,51141497.5144747,623304.37346995,6015660.88604293,1365798.5351114,1528369137.35639,7636112.19481505,26762066.2919113,5679727.19248865,4403131716.23409,537359934.73319,84120308.7957194,18255020.1099297
"MSJ01_MM_054_b",1747635147.38456,85419704.1953822,403767419.541839,39296869.7696583,19401.9475375099,610514881.173894,3177947560.42463,389069869.229645,48380977.0564039,2494540117.72816,351955636.040989,3830427227.10499,32025761.4032875,32052839356.1643,923846005.409555,1191685150.26693,17180997.5588108,56836368.9157049,13815320.4977517,129493482.345724,247762539.874088,19401.9475375099,392923921.884245,11957472.44139,62294973.7402472,19401.9475375099,31024874.2907623,47995860.5730577,10267860.5330625,1078723884.14497,313037826.404274,99192285.5790586,5941523199.47886,220569306.489735,16543309.8870515,19401.9475375099,23632840.859933,18793814.7328586,7209430.64744251,10360641.8213749,24060899533.9478,19401.9475375099,45281842.1585566,20554091.2784747,38476797.8601403,15210900.6939867,2778611.14350118,111839665.952655,94827488.4331555,81428884.9410446,19401.9475375099,26205794.7524601,770335894.036178,78015942.8792044,19401.9475375099,19401.9475375099,2460367758.70539,19401.9475375099,16591266.2969672,5158504.88922341,12389147.3503951,2464863.48814552,1637008.55458148,104448093.937963,19401.9475375099,83468012.4720652,37834616267.336,6388360.9439718,180873260.427734,19401.9475375099,19401.9475375099,737237702.209232,2195969157.58451,253933930.52905,80406846.542337,563328379.184712,6603315.6142522,206115782.083553,92106625.7804333,32805794.7529453,20825214.3439951,13245442.0721228,407893370.033525,19401.9475375099,19401.9475375099,1148783796.53104,19401.9475375099,23567207.7985008,24752391.2429913,505805784.733597,9839337.37677163,8427352127.58548,607579972.338316,10624159.9720627,19401.9475375099,19401.9475375099,34467854.7748718,9618502.58091458,33072882.0570581,608932.940487791,1489310806.87487,3499316.17825562,5133553.52313429,11407145.331262,6338296.70493147,11483154.2004816,8640551.86538741,1210649494.9104,20625058.9373657,12771121.8151275,18292510.3820991,12630623.2175321,19401.9475375099,363934422.327303,4125056.93710548,35502537.0152378,27901521.783452,134922093.101129,1502592.93316401,27954217.2836114,70373465.5785318,599298.05307871,38543630.2132501,13428481.5487894,37285695.8843564,4311213.54303853,511389.518662018,1020263.13058365,15114514.9880826,32657768.8688064,2157888.72873554,41091792.7834986,845543.605440357,3976936.82391643,1231477.79243294,1636702580.50286,5874220.32587326,17340170.8230195,4526365.95855336,6930971388.60856,675539150.526957,113896229.432714,11511005.1067494
"MSJ01_MM_043",2105771235.13588,66469934.8311488,139577808.728623,40295681.8192279,60998063.9461701,500826117.99449,2565020020.13629,460718452.198862,50304731.824198,2672165577.22979,326082478.019835,3677132886.54588,44497711.9129578,32116333824.8048,884107439.228113,1194597059.22672,16978710.7630954,58875187.9038851,12457024.1987461,120116294.477564,395874805.444618,456791475.282302,445394797.192436,9898555.62113987,64279282.935509,17921976.4150509,30098257.9718238,51366899.3898828,13423569.3737511,1002313861.54266,340633711.888152,77299106.8462646,7316578040.44634,208518307.508588,13341495.1514588,17046535.5064473,28770289.7532068,18966481.6760749,6542714.10550007,9714275.33080081,30254867155.8514,77726149.1220427,76449708.7892451,15532851.040108,61131087.8729736,17969606.626053,1448626.07229499,112833316.221318,80987636.0374993,88820796.6474565,19259.7712519066,30827009.92131,687280335.653414,83270214.6391909,150565072.880277,15214825.3157245,2586579137.65886,19259.7712519066,16951139.6314403,4642159.23181841,12837720.7552731,2099952.16223352,1478596.46782131,97362145.861193,44447951.4554524,86327331.7748869,26382846671.042,5469178.53183949,233342305.194865,19259.7712519066,3506716.20539258,1324281115.1896,2002318482.47699,165764052.598712,93419592.4667176,458376639.214778,6289104.57870179,180495775.574024,84766825.3966089,61788030.8557345,10715266.9197609,31508264.7457049,390582379.744312,5387023.43857321,6157985.69724052,2195415007.02526,3453366.17512581,16941398.128939,30060123.6584951,744693194.953183,10328852.4032007,8853097991.09284,567368762.010322,9924839.93417175,19259.7712519066,23212682.8231769,47185403.1366985,8490019.51254558,42217615.5639929,3180671.08146894,1424293648.70437,3663053.46606316,6264439.83610224,9107166.15153957,5869729.88657653,8839685.74871664,7021985.9924063,1005839366.26257,49221285.385939,7180085.65635674,23129837.0925456,15668688.1492333,19259.7712519066,326702164.258341,5863934.03007185,9470893.08526694,30276295.8552925,169388520.720726,2847477.33071945,22170818.234516,77608935.656741,685873.046477392,81194508.1040671,17027803.7031171,36864619.9393093,5942438.05900087,660079.628536966,1501485.91356527,17625307.2526398,41739970.9344729,2990978.23655243,14506468.2001096,509333.316758284,5180704.67081567,1375305.72873516,1640856272.15314,4868832.9842932,25937078.3134773,6965764.21540014,9967662666.1342,608547170.482674,19259.7712519066,13768492.1674317
"MSJ01_MM_057",2720899663.26548,43095743.0641279,136999995.638759,34222784.413327,39826075.6726927,539967359.306235,1932115684.12316,457802630.91942,36150219.0834901,1987537015.48226,269727499.937294,3708185383.53014,30569422.5589783,33640953051.55,784083482.595871,813255406.370732,12009074.0100703,37025181.4045668,8964046.41254856,64443461.9523448,886168234.439183,345060735.170886,956708801.631384,11574468.6504942,45081745.9115796,19365.6912300549,30900091.0583891,36089346.0440369,11206477.2506909,1035811870.32846,284949891.058309,72534395.316721,6984218553.34966,204456772.824505,15286782.9852434,19365.6912300549,22442129.2659954,16213614.6620616,6183339.08165164,8659497.7416626,29946292122.93,70615762.573507,38727671.0510846,16758188.468936,19879212.034601,17004405.1521529,2066062.5114774,135631834.476327,77547300.7539568,140774720.070517,19365.6912300549,22499312.0866145,666401385.355519,67899800.7572029,91244554.1014529,19365.6912300549,2751824352.48651,19365.6912300549,16365485.6570127,5233242.06516286,10707801.4977226,2021984.88216181,1563733.79143292,59555886.3758436,28508221.7034886,88750893.5688602,23324500631.2037,4438282.0802571,37875695.1095201,19365.6912300549,19365.6912300549,1354715533.20594,1752798494.47958,110832672.824572,65538949.7285017,666787468.710246,3173610.57181006,176949769.852131,129194691.343206,104860342.693186,21682783.4172074,184889059.767862,403897023.608563,4100531.38755589,7797630.12604001,1166223296.29293,2668316.08101195,43677042.8829234,25429200.3370237,665912322.666952,13556223.6847037,16223281493.7253,1352619144.27563,6904702.59881064,490747.757096662,21492676.554738,109483900.183881,3933598.90056963,44013715.2957102,1198200.97185341,1290048526.16525,2790966.42125408,9059217.91561661,10731565.2707614,6094155.9301949,15535066.1171729,16573510.3375319,1805389385.51278,71199493.2354741,7066248.31768189,33372622.7301571,34032483.4564463,19365.6912300549,308843338.224062,4730792.49655213,38232018.1064481,31750925.5161005,165577726.291035,2212817.07751984,21670457.098169,96559761.1814643,1218977.67051458,35756710.2100801,15573371.3797825,61691108.6948881,4810087.08987904,731651.564116629,1137504.6325221,17141751.6139758,43241180.3529839,3389845.22628787,31394322.6022915,1074677.51183613,6585993.08816472,715387.988154666,1542035071.2242,5047119.88418951,18157723.4711352,4450589.68297813,9424090713.69543,503002273.351718,19365.6912300549,11332017.5749386
"MSJ01_MM_044_b",2322659818.91849,77065943.9925582,396739633.59431,48173240.2750013,45635388.8751361,519202939.542494,2598791705.33629,327499825.819195,43304235.9071288,2720810282.14894,324421688.929387,4318450020.25214,43670884.2454323,32743203108.4377,955482466.168061,1382207596.99883,15425951.0949916,50188826.0362327,13519635.8080394,134477401.549145,277404265.479752,359450935.578025,314654975.807945,9365495.51059265,63630989.9829593,56403206.7185883,34206267.7710918,55701192.6693709,20068.3830063576,1122053999.69872,361788712.050911,102070572.742104,6888113822.57635,267707086.39405,13113001.5268934,28368364.8898358,28530539.9481373,23231072.846189,20068.3830063576,10508252.3019107,33426817994.2499,77861107.0529156,55022012.861882,11240582.2128232,36036556.4266093,21196224.9097371,1896582.22603917,118585129.289187,112522177.060854,83374405.3358209,20068.3830063576,30582990.0508042,759859112.880315,92364394.9558219,93800822.2816004,20068.3830063576,2767277184.18622,9217926.49229546,16776538.6144697,6385348.1817331,18314112.4619416,2592322.92646355,1666195.01326226,76102113.1277364,41298371.0822067,101089007.507331,29890808234.3438,5328035.31967035,390622427.706722,20068.3830063576,20068.3830063576,1177608422.33688,2356434966.17529,272068793.03823,69274072.6700768,334232411.06662,3104351.54236161,206627404.94384,55842523.1971001,44548734.8225066,10047790.6183714,16447053.0469173,460943254.377793,20068.3830063576,5387452.25206125,1527835955.44718,1682063.58383869,16552120.7294161,35851764.7543737,868502899.672658,10717716.9194098,6181287071.85825,361239116.820616,8655660.98308847,20068.3830063576,23205700.2107738,34463947.2358182,10213319.9974921,42644562.5437355,1448812.49820536,1530294945.37318,2858342.03080901,4850173.95573383,9197665.14096107,5165536.10372751,6659539.24504781,7391147.56780104,684095507.407971,24914357.0918944,9183951.5135533,15822449.3151852,12127762.8991558,20068.3830063576,350899908.521095,3681255.39376867,15503628.732594,26888455.7985748,121538404.134138,2939624.12328095,22823084.3277475,84927393.0810623,20068.3830063576,48076820.3328914,13909427.8439805,21285669.7890712,4016542.67123971,352828.863570737,796963.217141719,13798211.7949147,26237561.6039759,2207237.72235002,70990617.4252312,466014.247740683,2834655.09170629,784181.501405041,1565026073.39418,3010607.95411331,15945775.0564986,2215580.04602764,9722555424.48089,682555582.29739,88693531.1426059,17614361.0747093
"MSJ01_MM_028_b",1081976843.50776,48915415.4627068,825344071.712496,35519748.1756884,16001476.3093079,637527570.640497,1874145868.42573,146095323.175661,31985844.1098806,2075180651.78399,264808313.723428,3677876488.03824,65938990.9676791,28987567459.6006,824610399.078582,1055277677.24865,8994241.32097565,37530048.6860916,10228314.7684501,96730157.0021691,163870945.089193,333634773.504799,29167382.3647576,11303196.6156717,50489547.8261177,27509526.9469461,32223544.6102692,48585429.7021715,13296420.9950667,1017112353.05759,290730959.058128,103892909.631089,6165320668.98339,199696141.297744,17836358.6111733,25163200.3121207,16980415.5399514,19085442.5853155,5141019.75060147,11062153.9136171,26860225841.7122,106216499.98636,19510307.522059,13013490.143229,31814666.7484715,15595334.5428425,1907382.96802177,148335742.899357,126631141.229947,17304877.2559411,18200.2648537468,20586812.4429541,687775290.125336,66471300.865968,86899272.783361,11876004.9440186,2019139447.74277,18200.2648537468,22491938.8176478,5592100.83928393,20843524.0529464,2425125.29323564,1675869.4877758,86591105.7584122,28965243.6303708,94238902.7529523,28563465112.1953,3203707.17334634,641313426.150147,18200.2648537468,3690137.41799872,204166464.211266,1900262994.18939,186879508.133162,73229404.7700044,125287195.768666,4192452.24344316,164827096.137937,9909086.09933119,35723403.1600271,4301722.96181084,9568918.10484869,378528499.158168,18200.2648537468,3422325.87417073,920739719.41345,2342081.81005104,12629102.1654932,18387481.4690038,461208392.044494,6105241.57701657,1350682069.01833,22928248.9229394,7743251.70423402,18200.2648537468,26850906.416242,5059261.12988201,7635050.44698746,33111078.9938662,1976619.41836726,1558136284.57946,3160502.60018852,2299433.55129667,10340462.960667,4463004.76534416,5155443.45517674,4792960.16902448,687909140.090352,5819941.89977699,5177420.8574819,9429793.84235404,3533964.54665905,18200.2648537468,324885900.660663,4760709.01943242,17749146.19373,27678825.3462668,102376305.941265,2578537.88264727,24724391.8705823,86430756.7818639,18200.2648537468,48880514.2175726,14121547.1883265,15450914.6118333,5070131.79124897,755149.471476289,655386.494896933,11801107.954058,38310328.9098131,1694124.60397868,35709648.0540636,487884.460248761,3199833.51699128,340632.068547812,1458613281.54423,2639085.41642182,12592561.7889668,1789074.06575094,1932804741.57767,439899653.283221,63861932.2662919,9295747.48605909
"MSJ01_MM_059",1439188745.97953,65629327.4824409,171748716.79159,38545304.7872897,39826075.6726927,338084923.665155,2125639117.767,392519571.607293,36847289.2678074,2106314579.87387,320225831.165055,3784500436.00393,25907999.2892944,32263230044.0796,540704445.485811,1080038422.14642,23205501.9033688,44399543.3835134,7998184.91662759,151166255.215152,458268980.296508,369638557.746763,344620942.163289,11618313.5544748,48366569.9362245,19365.6912300549,28288826.3946601,42943534.5286153,11206477.2506909,960990430.182018,325710058.424851,53694923.8847887,6488573947.85705,152695480.342429,14746694.414373,19365.6912300549,25754973.7062451,20944801.5982438,4037190.54695652,11236972.8733028,19805512916.5002,70615762.573507,42858521.2789894,17452487.2002002,19415443.9368237,19150405.1260925,2099291.85853043,144295371.873969,86646473.1634328,88277732.0892563,19365.6912300549,25405662.4864822,736502534.19957,55128095.5702524,91244554.1014529,19365.6912300549,2375115955.21393,19365.6912300549,21342880.2398073,4957159.86027217,12643091.0877333,1838349.18417538,1479293.1523286,44819162.5403021,23446648.8091303,80557403.8467552,40994693334.8346,3143379.40070392,99410345.4984386,19365.6912300549,19365.6912300549,499764409.460364,1925931119.54954,110832672.824572,60495323.9974697,1250834294.6911,1818504.30440946,154121299.972488,114366143.78311,35836453.7887756,21682783.4172074,95155341.7395201,442128540.460896,4100531.38755589,5099052.61169717,1217161089.60269,2170215.53298251,75664796.7095794,33461153.9829218,616465590.75441,7532421.72006957,9909284515.70871,462933600.366601,8996308.86830474,494775.520210459,27731480.5200566,42163694.6489531,6190493.37867827,38917237.2456909,704160.169544764,1274692881.53271,2982490.77896998,21556896.057164,10953105.7133266,7029026.59016849,10483284.0113033,30760621.9400395,1422023054.8041,38375007.1562122,35054749.6165529,24718883.3163919,19607274.7346905,19365.6912300549,326733608.306246,5481899.51478123,101060835.958065,34008754.8225787,252228139.969169,3227207.28645346,26507696.9360939,88676069.3731603,1218977.67051458,86896851.6833639,16249634.0664464,55866046.4290599,5454172.91489073,746285.018985093,1240382.18730024,19475233.7561681,39851724.4311178,3392842.11995557,28481575.3798451,1074677.51183613,7106754.48526633,803596.305469568,1526610716.14053,3248117.31147713,19583369.0924529,4142939.30222936,7416690403.05254,601963052.53099,19365.6912300549,12464193.0315976
"MSJ01_MM_021_b",1644462743.08354,72500629.8030674,527418147.160961,58722648.6228378,18699863.6867881,690587104.389446,2766701116.72739,222035570.646998,43124316.2272406,4624304500.93813,429039393.224666,4801569988.28172,69922837.7308403,33591606818.3796,715669889.945481,1481137082.66398,11987929.5108785,45498070.3140748,17456662.8847456,179907835.928876,69365966.1790969,353718997.758009,28788198.3421706,23596284.0983404,134958245.929064,104012751.008871,47855987.0098936,103376211.316827,22327525.2608562,1018000923.16209,464227108.696091,135480842.306033,5989542709.66796,327789610.061934,20645451.2276111,14509730.2558349,39242338.8452059,46408899.5190696,7602759.09933745,23782346.1163837,36469187464.0261,111566084.419427,88570600.4428108,22451454.52645,30907606.5163119,37610189.0385036,2678651.32892077,208322231.423648,154606171.692754,27796849.7167052,17681.3615254761,56956811.2412171,943058007.505341,86312221.8723159,74922472.4720599,13869881.3606338,3829792387.24994,17681.3615254761,25758620.3287411,11121651.8160459,28707139.1369037,2355983.13534696,2798510.78496556,72188264.7793446,33232676.7179185,144665395.609412,43793960306.3287,4983853.75474792,688441445.074405,17681.3615254761,3018794.76401482,335803083.233475,5219248234.44135,181551431.891682,50196802.4074489,136260799.657349,4968654.09767426,137728739.852368,21762063.5754863,40519720.7358073,4931684.67022807,8140361.58834807,599807084.048039,17681.3615254761,3324752.77285573,1079499655.2685,2275307.28473045,6286732.80420001,27351810.4656977,1135160160.91957,7670940.11629871,1885894820.41092,51077447.7777337,11418732.9501092,17681.3615254761,42930950.3314848,15721972.0043232,9071772.38261123,57361894.0299663,1920264.50248238,2435233050.21537,3433893.79687393,5114107.2888953,14584872.6701371,7889686.32244699,9449281.70731238,4068252.78062151,920614132.95836,12872492.8748341,6351314.04232345,12271872.4368155,9188311.69503495,17681.3615254761,374732033.060239,11059091.1535823,15402887.9161326,45476020.2371031,197401297.648763,3124269.75125186,35152679.0264235,85627814.8633023,17681.3615254761,135097027.686733,20208428.9436344,26021058.6358809,11640145.5642604,888954.308316695,1284054.7878586,25812581.3705666,75445774.8496631,4049976.39913027,93458574.8903068,473974.504966843,6520646.79190821,1194177.0735361,1184069965.43041,10662856.0500235,34211935.5637161,7262186.18725222,3717330550.78538,601883939.567602,54999312.6108348,16516281.9223744
